"objectid","rd20full","length_mi","class","xstrt1","xstrt2","district","sapid","iamfloc"
"1774","NIGHTHAWK LN","0.17966176","Class II","CAM SAN BERNARDO","ZASLAVSKY PL","5","SS-032137",""
"1775","BERNARDO CENTER DR","0.11456251","Class II","WEST BERNARDO DR","CLOUDCREST DR","5","SS-004058","SS-004058"
"1776","EASTGATE ML","0.19561970","Class II","EASTGATE DR","OLSON DR","6","SS-009804","SS-009804"
"1777","RANCHO CARMEL DR","0.18668145","Class II","WINDCREST LN","CARMEL MTN RD","5","SS-022694",""
"1778","OLIVETAS AV","0.05183721","Class III","PEARL ST","RAVINA ST","1","SS-020502",""
"1779","UNIVERSITY AV","0.01704969","Class III","EUCLID AV","RENO DR","9","SS-027124","SS-027124"
"1780","TROJAN AV","0.06821369","Class III","54TH PL","BERNADINE PL","9","SS-026868",""
"1781","RUEDA DR","0.03348896","Class III","VIA PROMESA","CLAIREMONT MESA BL","7","SS-023751",""
"1782","CASS ST","0.06575263","Class II","DIAMOND ST","MISSOURI ST","1","SS-006623",""
"1783","EAST OCEAN AIR DR","0.13887397","Class II","VEREDA MAR DEL SOL","TORREY CIRCLE","1","SS-030542","SS-030542"
"1784","CLEVELAND AV","0.12935736","Class II","MEADE AV","MONROE AV","3","SS-007375",""
"1785","S 28TH ST","0.03768938","Class III","VALLEY PL","WEBSTER AV","8","SS-029318","SS-029318"
"1786","ROSECRANS ST","0.05083850","Class II","QUIMBY ST","LANING RD","2","SS-023560",""
"1787","EL CAMINO REAL","0.37549495","Class II","QUARTER MILE DR","HALF MILE DR","1","SS-010058","SS-010058"
"1788","CARDENO DR","0.04607041","Class III","CALLE GUAYMAS","VIA FRESA","1","SS-006256","SS-006256"
"1789","RANCHO CARMEL DR","0.14189027","Class II","AVENUE OF SCIENCE","INNOVATION DR","5","SS-022692",""
"1790","CLAIREMONT MESA BL","0.45274165","Class II","MURPHY CANYON RD","REPECHO DR","7","SS-007306","SS-007306"
"1791","STONEBRIDGE PY","0.21857958","Class II","DOWNING LN","GREENSTONE CT","6","SS-031416",""
"1792","CATALINA BL","0.14729955","Class III","CHATSWORTH BL","ORCHARD AV","2","SS-006683","SS-006683"
"1793","JUDICIAL DR","0.35435677","Class II","GOLDEN HAVEN DR","EXECUTIVE DR","6","SS-031453","SS-031453"
"1794","RUEDA DR","0.03701555","Class III","ZAGALA CT","VIVARACHO WY","7","SS-023757",""
"1795","B ST","0.03901650","Class II","23RD ST","24TH ST","3","SS-003303","SS-003303"
"1796","MISSION BL","0.06538786","Class III","GRAND AV","HORNBLEND ST","1","SS-018504",""
"1797","CAM DEL RIO SOUTH","0.35681893","Class II","SCHEIDLER WY","END","9","SS-005781","SS-005781"
"1798","35TH ST","0.12729301","Class II","MEADE AV","MONROE AV","9","SS-000868","SS-000868"
"1799","CARROLL RD","0.38158626","Class II","BROWN DEER RD","CARROLL PARK DR","6","SS-006545",""
"1800","CAM DE LA COSTA","0.18625947","Class III","CHELSEA AV","LA CANADA","1","SS-005727","SS-005727"
"1801","POPLAR ST","0.06240749","Class II","DAHLIA ST","COLUMBINE ST","9","SS-022225","SS-022225"
"1802","ROSECRANS ST","0.05167397","Class II","GOLDSMITH ST","HOMER ST","2","SS-023546",""
"1803","B ST","0.05359896","Class III","09TH AV","10TH AV","3","SS-003295",""
"1804","CAM SANTA FE","0.13661966","Class II","MAYCREST LN","CALLE CRISTOBAL","6","SS-005913",""
"1805","PACIFIC HY","0.00018988","Class III","PACIFIC HY NB OFF RA","PACIFIC HY NB ON RA","2","SS-020910","SS-020910"
"1806","PARK BL","0.25066615","Class II","UPAS ST","MYRTLE AV","3","SS-021187",""
"1807","CHELSEA AV","0.02727530","Class III","CHELSEA PL","DOLPHIN PL","1","SS-007059","SS-007059"
"1808","MADISON AV","0.06023063","Class II","MASSACHUSETTS ST","RHODE ISLAND ST","3","SS-017131",""
"1809","NAPA ST","0.06098949","Class III","LINDA VISTA RD","RILEY ST","7","SS-019627","SS-019627"
"1810","MIRA MESA BL","0.23839799","Class II","GREENFORD DR","MARBURY AV","6","SS-018368",""
"1811","GENESEE AV","0.07102315","Class II","CHICKASAW CT","BANNOCK AV","2","SS-012026",""
"1812","TROJAN AV","0.09398900","Class III","SHARRON PL","56TH ST","9","SS-026870",""
"1813","UPAS ST","0.06309313","Class III","GRIM AV","31ST ST","3","SS-027263",""
"1814","SPRINGHURST DR","0.16272908","Class II","SABRE SPRINGS PY","POWAY RD","5","SS-025431","SS-025431"
"1815","LINCOLN AV","0.07197955","Class III","IOWA ST","32ND ST","3","SS42512","No IAMFLOC ID"
"1816","GRAND AV","0.10996807","Class II","JEWELL ST","KENDALL ST","1","SS-012493",""
"1817","SKYLINE DR","0.09841364","Class II","O MEARA ST","HENSON ST","4","SS-025096","SS-025096"
"1818","ANTIGUA BL","0.06438817","Class II","CAM PLAYA ACAPULCO","VILLARRICA WY","7","SS-002528","SS-002528"
"1819","IMPERIAL AV","0.15272155","Class III","EUCLID AV","SAN JACINTO DR","4","SS-014067",""
"1820","JACKSON DR","0.11008835","Class II","BIRCHCREEK RD","PARK RIDGE BL","7","SS-014430","SS-014430"
"1821","MISSION BL","0.06339586","Class III","TOURMALINE ST","SAPPHIRE ST","1","SS-018492","SS-018492"
"1822","AMHERST ST","0.01912975","Class III","68TH ST","68TH ST","9","SS-002374","SS-002374"
"1823","RUEDA DR","0.03482703","Class III","PALABRA CT","CALLE DE VIDA","7","SS-023756",""
"1824","SR56 BIKE PATH","0.41330909","Class I","CAMINO DEL SUR","CARMEL MTN RD","5","SA-002882","SS-035611"
"1825","HOWARD AV","0.06810146","Class III","KANSAS ST","30TH ST","3","SS-013819","SS-013819"
"1826","IMPERIAL AV","0.10316669","Class III","65TH ST","66TH ST","4","SS-014006","SS-014006"
"1827","PASEO DEL SUR","0.18929348","Class II","CAM DEL SUR","HAALAND GLEN","5","SS-031842",""
"1828","LINDA VISTA RD","0.18860112","Class II","TAIT ST","COMSTOCK ST","7","SS-016514","SS-016514"
"1829","SOLEDAD MTN RD","0.22021869","Class II","BERYL WY","BERYL ST","1","SS-025183",""
"1830","LA JOLLA BL","0.04150240","Class II","PLAYA DEL NORTE ST","BONAIR ST","1","SS-015524","SS-015524"
"1831","POPLAR ST","0.06455035","Class II","SNOWDROP ST","JAMIES WY","9","SS-022226","SS-022226"
"1832","W ASH ST","0.04951325","Class III","03RD AV","04TH AV","3","SS-002878",""
"1833","MEADE AV","0.06247764","Class II","43RD ST","FAIRMOUNT AV","9","SS-017927",""
"1834","GALEWOOD ST","0.06650408","Class III","BARCLAY AV","WARING RD","7","SS-011774","SS-011774"
"1835","BACON ST","0.07242140","Class III","DEL MONTE AV","NARRAGANSETT AV","2","SS-003348",""
"1836","CHATSWORTH BL","0.06831659","Class III","POINSETTIA DR","VOLTAIRE ST","2","SS-007033","SS-007033"
"1837","EL CAJON BL","0.07546026","Class III","NORMAL ST","GEORGIA ST","3","SS-010032",""
"1838","LINDA VISTA RD","0.07485952","Class II","FULTON ST","LEVANT ST","7","SS-016496","SS-016496"
"1839","UNIVERSITY AV","0.04905306","Class II","08TH AV","09TH AV","3","SS-027138",""
"1840","S WOODMAN ST","0.18630835","Class II","WINDWARD ST","BENJAMIN HOLT RD","4","SS-029692",""
"1841","LANDIS ST","0.04853967","Class III","33RD ST","BOUNDARY ST","3","SS-016019","SS-016019"
"1842","UNIVERSITY AV","0.04827070","Class II","05TH AV","06TH AV","3","SS-027140",""
"1843","MURRAY RIDGE RD","0.13453806","Class II","CHALAR ST","FIRESIDE AV","7","SS-019526","SS-019526"
"1844","CAM DEL SUR","0.41481049","Class II","BRYN GLEN WY","CARMEL VALLEY RD","5","SS-031076","SS-031076"
"1845","MEADE AV","0.06835643","Class II","IDAHO ST","UTAH ST","3","SS-017904",""
"1846","SKYLINE DR","0.06232471","Class II","S 65TH ST","S 66TH ST","4","SS-025100","SS-025100"
"1847","UPAS ST","0.03144167","Class III","HERMAN AV","32ND ST","3","SS-027266",""
"1848","GRAMERCY DR","0.04365815","Class III","GREYLING DR","TOWSER ST","7","SS-012466","SS-012466"
"1849","NAVAJO RD","0.46932828","Class II","JACKSON DR","GOLFCREST DR","7","SS-019730","SS-019730"
"1850","CATALINA BL","0.05115161","Class III","CHARLES ST","LOMALAND DR","2","SS-031024",""
"1851","CLEVELAND AV","0.12822089","Class II","VAN BUREN AV","MEADE AV","3","SS-007376",""
"1852","03RD AV","0.06786984","Class III","B ST","A ST","3","SS-000093",""
"1853","CARMEL MTN RD","0.38715519","Class II","HARVEST RUN DR","AMBERGLADES LN","1","SS-030457","SS-030457"
"1854","CAMPUS POINT DR","0.07382706","Class II","VOIGT DR","GENESEE AV","6","SS-005993","SS-038469"
"1855","KESLING ST","0.26350553","Class III","DOLIVA DR","CANNINGTON DR","2","SS-015169","SS-015169"
"1856","IMPERIAL AV","0.23287612","Class III","WOODMAN ST","68TH ST","4","SS-014001","SS-014001"
"1857","RONSON RD","0.30265153","Class III","RUFFNER ST","CONVOY ST","6","SS-023485","SS-023485"
"1858","SAN ANDRES DR","0.31087274","Class II","FLOWER HILL DR","VIA CAMPESTRE","1","SS-023978","SS-023978"
"1859","04TH AV","0.06420454","Class III","B ST","A ST","3","SS-000133",""
"1860","MIRA MESA BL","0.11489646","Class II","CAM SANTA FE","PENRIDGE ST","6","SS-018380",""
"1861","W WASHINGTON ST","0.07463996","Class IV (One-Way)","WASHINGTON ST RA","ANDREWS ST","3","SS-030089",""
"1862","SORRENTO VALLEY BL","0.05734872","Class II","MOORLAND HEIGHTS WY","VISTA DEL AGUA WY","6","SS-025251",""
"1863","KEARNY VILLA RD","0.16940141","Class II","LIGHTWAVE AV","KEARNY VILLA WY","6","SS-030450","SS-030450"
"1864","PACIFIC HY","0.06817132","Class III","W HARBOR DR","W G ST","3","SS-020923","SS-020923"
"1865","COLLEGE AV","0.05103542","Class II","ADELAIDE AV","ESTELLE ST","9","SS-007565",""
"1866","SEMILLON BL","0.09535351","Class II","CHARBONO ST","RIESLING DR","5","SS-024740","SS-024740"
"1867","MEADE AV","0.03498039","Class II","37TH ST","MC CLINTOCK ST","9","SS-017882",""
"1868","OCEAN VIEW BL","0.10199337","Class III","S 33RD ST","I-15 NB OFF RA","8","SS-020329","SS-020329"
"1869","ORANGE AV","0.09965645","Class III","32ND ST","33RD ST","9","SS-020604","SS-020604"
"1870","CHATSWORTH BL","0.03185989","Class III","NARRAGANSETT AV","MACAULAY ST","2","SS-007026",""
"1871","VIA DE LA VALLE","0.19319687","Class III","BEGIN","SAN ANDRES DR","1","SS-027687","SS-027687"
"1872","SORRENTO VALLEY BL","0.68162330","Class II","VISTA SORRENTO PY","SEA MIST WY","1","SS-025257",""
"1873","PACIFIC HY","0.06657889","Class IV (One-Way)","W ASH ST","W BEECH ST","3","SS-020918",""
"1874","MISSION VILLAGE DR","0.09471530","Class II","FRIARS RD","FRIARS RD RA","7","SS-018627",""
"1875","SUNSET CLIFFS BL","0.18809610","Class III","CARMELO ST","MONACO ST","2","SS-025909","SS-025909"
"1876","POMERADO RD","0.16583059","Class II","MIRASOL DR","VEZELAY LN","5","SS-022201","SS-022201"
"1877","LELAND ST","0.12749423","Class III","KEMPER ST","MARQUETTE ST","2","SS-016289",""
"1878","MEADE AV","0.07274738","Class II","ARIZONA ST","HAMILTON ST","3","SS-017901",""
"1879","CROWN POINT DR","0.08585700","Class III","HONEYCUTT ST","MORRELL ST","1","SS-008311",""
"1880","MISSION GORGE RD","0.21270402","Class II","GOEN PL","PRINCESS VIEW DR","7","SS-018590","SS-018590"
"1881","CHELSEA AV","0.03077300","Class III","FORWARD ST","CHELSEA PL","1","SS-007060","SS-007060"
"1882","MIRA MESA BL","0.22971579","Class III","I-805 NB OFF RA","SCRANTON RD","6","SS-018387","SS-018387"
"1883","NORTH HARBOR DR","0.29093377","Class II","W ASH ST","W GRAPE ST","3","SS-020074",""
"1884","ROSECRANS ST","0.05147970","Class II","OLIPHANT ST","POE ST","2","SS-023562",""
"1885","CATALINA BL","0.02602225","Class III","TENNYSON ST","CATALINA CT","2","SS-006675",""
"1886","CAM DE LA COSTA","0.18956782","Class III","AVNDA CORTEZ","VIA DEL NORTE","1","SS-005711","SS-005711"
"1887","FIESTA ISLAND RD","0.07945517","Class III","EAST MISSION BAY DR","EAST MISSION BAY DR","2","No Segment ID",""
"1888","MESA COLLEGE DR","0.08869449","Class II","BERGER AV","KEARNY VILLA RD","7","SS-018166","SS-018166"
"1889","SCRIPPS POWAY PY","0.21561135","Class II","MERCY RD","SCRIPPS HIGHLANDS DR","5","SS-024537",""
"1890","MIRAMAR RD","0.10087103","Class II","MIRAMAR PL","CAM SANTA FE","6","SS-018436",""
"1891","ISLAND AV","0.05303066","Class III","01ST AV","02ND AV","3","SS-014273",""
"1892","54TH ST","0.09129585","Class II","54TH (E FTG) RD","GRAPE ST","4","SS-001309",""
"1893","MISSION GORGE RD","0.50548621","Class II","OLD CLIFFS RD","KATELYN CT","7","SS-018591","SS-018591"
"1894","WORDEN ST","0.21612001","Class III","BOB ST","LELAND ST","2","SS-029080",""
"1895","RANCHO BERNARDO RD","0.14636335","Class II","ALONDRA DR","CITY BOUNDARY","5","SS-022682",""
"1896","MEADE AV","0.03106580","Class II","36TH ST","CHEROKEE AV","9","SS-017878",""
"1897","WEST BERNARDO DR","0.27227206","Class II","WEST BERNARDO CT","RANCHO BERNARDO RD","5","SS-028442",""
"1898","CAM RUIZ","0.22616924","Class II","ZAPATA AV","AQUARIUS DR","6","SS-005895","SS-005895"
"1899","APPLETON ST","0.04905306","Class III","COLE ST","CAYWOOD ST","2","SS-002564","SS-002564"
"1900","OVIEDO ST","0.08408584","Class III","ZEMKE AV","BARRYMORE ST","5","SS-020826",""
"1901","DEL MAR HEIGHTS RD","0.04750610","Class II","CREST WY","MAR SCENIC DR","1","SS-008967","SS-008967"
"1902","HORNBLEND ST","0.11047314","Class III","BAYARD ST","CASS ST","1","SS-013763","SS-013763"
"1903","MEADE AV","0.06232395","Class II","FELTON ST","34TH ST","9","SS-017913",""
"1904","30TH ST","0.06212231","Class IV (One-Way)","OLIVE ST","PALM ST","3","SS-000669",""
"1905","CARMEL MTN RD","0.10541456","Class II","CARMEL COUNTRY RD","LAUREL CHASE DR","1","SS-030465","SS-030465"
"1906","TWIN TRAILS DR","0.06419437","Class III","TRAIL DUST AV","OLD WEST AV","5","SS-027017",""
"1907","CLAIREMONT DR","0.08319626","Class II","MERRIMAC AV","COLE ST","2","SS-007248",""
"1908","MARYLAND ST","0.08397870","Class II","MARYLAND CT","MADISON AV","3","SS-017715","SS-017715"
"1909","ROSECRANS ST","0.04867993","Class II","TENNYSON ST","UDALL ST","2","SS-023557",""
"1910","NOBEL DR","0.20487145","Class II","VILLA LA JOLLA DR","I-5 NB OFF RA","1","SS-019972","SS-019972"
"1911","SKYLINE DR","0.04660980","Class II","DETROIT PL","S 65TH ST","4","SS-025099","SS-025099"
"1912","COAST BL","0.09828733","Class III","OCEAN ST","GIRARD AV","1","SS-007448","SS-007448"
"1913","CHELSEA ST","0.17182165","Class III","CRYSTAL DR","SEA RIDGE DR","1","SS-007068","SS-007068"
"1914","IMPERIAL AV","0.10316663","Class III","65TH ST","66TH ST","4","SS-014006","SS-014006"
"1915","SORRENTO VALLEY BL","0.07876952","Class II","LOPEZ RIDGE WY","WHISPERING HEIGHTS LN","6","SS-025254",""
"1916","SORRENTO VALLEY BL","0.10271190","Class II","GREENSHADE RD","SHAW LOPEZ RD","6","SS-025247",""
"1917","HARBOR DR","0.24831724","Class II","05TH AV","PARK BL","3","SS-013026","SS-013026"
"1918","EAST OCEAN AIR DR","0.05537687","Class II","TRZA MAR MARVELOSA","VEREDA SOL DEL DIOS","1","SS-031039","SS-031039"
"1919","SR56 BIKE PATH","0.36797352","Class I","BEGIN","EL CAMINO REAL","1","SA-002875","SS-035604"
"1920","MIRA MESA BL","0.23542348","Class II","GENETIC CENTER DR","FLANDERS DR","6","SS-018383",""
"1921","CARMEL CREEK RD","0.11532648","Class II","DEL MAR TRAILS RD","MYKONOS LN","1","SS-006384","SS-006384"
"1922","AVNDA MAGNIFICA","0.16622658","Class III","MOSELLE WY","MEDOC LN","5","SS-003195","SS-003195"
"1923","HEALTH SCIENCES DR","0.08576448","Class II","VOIGT DR","REGENTS RD","6","No Segment ID","No IAMFLOC ID"
"1924","ORANGE AV","0.02860106","Class III","MARLBOROUGH AV","MARLBOROUGH AV","9","SS-020597","SS-020597"
"1925","CANON ST","0.07496961","Class III","ROSECRANS ST","LOCUST ST","2","SS-006141","SS-006141"
"1926","IMPERIAL AV","0.14513079","Class II","54TH ST","55TH ST","4","SS-014016",""
"1927","ROSECRANS ST","0.47431741","Class II","WALFORD ST","SCRIPPS ENTRANCE","2","No Segment ID","No IAMFLOC ID"
"1928","ORANGE AV","0.10333634","Class III","32ND ST","33RD ST","9","SS-020604","SS-020604"
"1929","NAUTILUS ST","0.09312455","Class II","AVNDA MANANA","AVNDA DE LAS PESCAS","1","SS-019715","SS-019715"
"1930","SCHOLARS DR","0.25764700","Class II","REVELLE COLLEGE DR","GILMAN DR","1","No Segment ID","No IAMFLOC ID"
"1931","VILLA LA JOLLA DR","0.18737285","Class III","VIA MALLORCA","NOBEL DR","1","SS-027975",""
"1932","GOLDEN HAVEN DR","0.10894485","Class II","TOWNE CENTRE DR","RENAISSANCE AV","6","SS-012344","SS-012344"
"1933","LAKE SHORE DR","0.17130242","Class II","BLUE LAKE DR","LAKE REE AV","7","SS-015880","SS-015880"
"1934","HOME AV","0.01123264","Class II","FEDERAL BL","ASH ST","9","SS-013683","SS-013683"
"1935","LANSDALE DR","0.07997776","Class II","GRAYDON RD","DEL MAR HEIGHTS RD","1","SS-016040","SS-016040"
"1936","SPRING CANYON RD","0.14957572","Class II","HASBROOK RD","WATERTON RD","5","SS-025386","SS-025386"
"1937","BIRMINGHAM WY","0.03121239","Class III","MEADOW LARK DR","BIRMINGHAM DR","7","SS-004291",""
"1938","54TH ST","0.25233500","Class II","GRAPE ST","PIROTTE DR","4","SS-001308","SS-001308"
"1939","LORING ST","0.02534434","Class III","CRYSTAL DR","LA JOLLA BL","1","SS-016879","SS-016879"
"1940","OSLER LN","0.18476712","Class II","GILMAN DR","END","1","No Segment ID","No IAMFLOC ID"
"1941","SOLEDAD MTN RD","0.03105699","Class II","PASEO MIRADA","DESERT VIEW DR","1","SS-025177","SS-025177"
"1942","FLANDERS DR","0.06726607","Class III","DANCY RD","PENROD LN","6","SS-011196","SS-011196"
"1943","TARENTO DR","0.05333066","Class III","JENNINGS ST","JOHN ST","2","SS-026175","SS-026175"
"1944","CAM DEL SUR","0.12989127","Class II","MARANATHA DR","BERNARDO LAKES DR","5","SS-032295","SS-032295"
"1945","CLAIREMONT DR","0.14302837","Class II","ERIE ST","GALVESTON ST","2","SS-007267","SS-007267"
"1946","EBERS ST","0.07252051","Class III","POINT LOMA AV","BERMUDA AV","2","SS-009860","SS-009860"
"1947","BEECH ST","0.04506715","Class IV (Two-Way)","05TH AV","06TH AV","3","SS-003871",""
"1948","MISSION CENTER RD","0.03144270","Class II","FRIARS RD","FRIARS RD RA","7","SS-018566","SS-018566"
"1949","LA JOLLA SCENIC S DR","0.16082639","Class III","KING ARTHUR CT","VIA CASA ALTA","1","SS-015598","SS-015598"
"1950","BARNETT AV","0.16364105","Class II","TRUXTUN RD","MENDONCA DR","2","SS-003593",""
"1951","ORANGE AV","0.04281890","Class III","32ND ST","33RD ST","3","SS-020604","SS-020604"
"1952","CREST WY","0.07555821","Class III","DEL MAR HEIGHTS RD","EL AMIGO RD","1","SS-030200","SS-030200"
"1953","EL CAJON BL","0.19132174","Class III","IOWA ST","33RD PL","9","SS-010035",""
"1954","JACKSON DR","0.21842990","Class III","COWLES MTN BL","TWIN LAKE DR","7","SS-014433","SS-014433"
"1955","MISSION GORGE RD","0.11963253","Class II","EL BANQUERO PL","GOLFCREST DR","7","SS-018582","SS-018582"
"1956","BROADWAY","0.05265187","Class III","13TH ST","14TH ST","3","SS-004936",""
"1957","CLAIREMONT MESA BL","0.09873083","Class II","CHESAPEAKE DR","MURPHY CANYON RD","6","SS-007288","SS-007288"
"1958","MEADE AV","0.03125516","Class II","CHEROKEE AV","CHEROKEE AV","9","SS-017879",""
"1959","CONGRESS ST","0.06556583","Class III","AMPUDIA ST","ARISTA ST","2","SS-007800","SS-007800"
"1960","OCEAN FRONT ST","0.07807690","Class III","DEL MAR AV","CORONADO AV","2","SS-020289","SS-020289"
"1961","CHATSWORTH BL","0.02524449","Class II","NIMITZ BL","QUIMBY ST","2","SS-007021",""
"1962","SORRENTO VALLEY BL","0.12623098","Class II","INDIGO BLOSSOM LN","JUNIPER PARK LN","6","SS-025250",""
"1963","I-5 BRIDGE","0.03116858","Class I","INDIA ST","KETTNER BL","2","No Segment ID","No IAMFLOC ID"
"1964","L ST","0.14828414","Class III","29TH ST","30TH ST","8","SS-015413","SS-015413"
"1965","25TH ST","0.07198968","Class II","E ST","BROADWAY","3","SS-000521",""
"1966","MURRAY RIDGE RD","0.05926284","Class II","AL CT","PINECREST AV","7","SS-019523","SS-019523"
"1967","SEMILLON BL","0.11575794","Class II","CREEKSIDE CT","OAKBEND DR","5","SS-024738","SS-024738"
"1968","SUNSET BL","0.03447021","Class II","ST JAMES PL","ALAMEDA DR","3","SS-025871",""
"1969","LINDA VISTA RD","0.11621197","Class II","MESA COLLEGE DR","MARKHAM ST","2","SS-016511","SS-016511"
"1970","EBERS ST","0.05009969","Class III","LONG BRANCH AV","MUIR AV","2","SS-009845","SS-009845"
"1971","CHATSWORTH BL","0.06980032","Class II","DIXON PL","GARRISON ST","2","SS-007029",""
"1972","SPRING CANYON RD","0.09912019","Class II","IVY HILL DR","NORTH BROOKVILLE DR","5","SS-025384","SS-025384"
"1973","SUNSET CLIFFS BL","0.13355192","Class III","HILL ST","CORDOVA ST","2","SS-025884","SS-025884"
"1974","VIA DE LA VALLE","0.86248535","Class II","SAN ANDRES DR","VIA DEL CANON","1","SS-027686","SS-027686"
"1975","MERCY RD","0.21380618","Class II","BRANICOLE LN","KIKA CT","6","SS-018113",""
"1976","ROSECRANS ST","0.04604653","Class II","KINGSLEY ST","LYTTON ST","2","SS-023542",""
"1977","MADISON AV","0.07196974","Class II","MARYLAND ST","CLEVELAND AV","3","SS-017135",""
"1978","03RD AV","0.08639261","Class III","ROBINSON AV","UNIVERSITY AV","3","SS-000068","SS-000068"
"1979","GENESEE AV","0.18657187","Class II","ESPLANADE CT","LA JOLLA VILLAGE DR","6","SS-011996",""
"1980","NORTH TORREY PINES RD","0.10181581","Class II","N TORREY PINE SB OFF RA","N TORREY PINE NB ON RA","1","SS-020116",""
"1981","30TH ST","0.12509952","Class IV (One-Way)","LINCOLN AV","POLK AV","3","SS-000656",""
"1982","SAN DIEGO AV","0.14339480","Class II","NOELL ST","WRIGHT ST","3","SS-024022","SS-024022"
"1983","06TH AV","0.07288458","Class IV (Two-Way)","G ST","F ST","3","SS-000225",""
"1984","RIO SAN DIEGO DR","0.25419871","Class II","CAM DEL ESTE","QUALCOMM WY","3","SS-023245","SS-023245"
"1985","LA JOLLA BL","0.04012094","Class II","WESTBOURNE ST","BELVEDERE ST","1","SS-015496","SS-015496"
"1986","RONSON RD","0.16685615","Class III","MERCURY ST","RONSON CT","6","SS-023483","SS-023483"
"1987","CHELSEA AV","0.33375795","Class III","SEA RIDGE DR","CHELSEA AV","1","SS-007067","SS-007067"
"1988","S WOODMAN ST","0.12887343","Class II","BULLOCK DR","WINDWARD ST","4","SS-029691",""
"1989","CARDENO DR","0.27963787","Class III","VIA NINA","VIA CABRERA","1","SS-006263",""
"1990","MARKET ST","0.05380917","Class II","TOYNE ST","DENBY ST","9","SS-017602","SS-017602"
"1991","30TH ST","0.07235466","Class III","K ST","J ST","9","SS-000688",""
"1992","MESA COLLEGE DR","0.08806335","Class II","BERGER AV","KEARNY VILLA RD","7","SS-018166","SS-018166"
